operation,iteration,file_size_label,cpu_percent,memory_used_mb,time_seconds
encryption,1,100KB file,-21.6,1.125,0.0014340877532958984
encryption,2,100KB file,-50.0,0.6015625,0.0009615421295166016
encryption,3,100KB file,37.5,0.46484375,0.0017898082733154297
encryption,4,100KB file,0.0,0.39453125,0.0009291172027587891
encryption,5,100KB file,87.5,0.3203125,0.0009653568267822266
encryption,6,100KB file,0.0,0.1328125,0.0009138584136962891
encryption,7,100KB file,-12.5,0.04296875,0.0009217262268066406
encryption,8,100KB file,25.0,0.3203125,0.0010094642639160156
encryption,9,100KB file,50.0,0.3125,0.0009124279022216797
encryption,10,100KB file,0.0,0.203125,0.0009636878967285156
encryption,11,100KB file,-12.5,0.28515625,0.0009315013885498047
encryption,12,100KB file,75.0,0.16015625,0.0009751319885253906
encryption,13,100KB file,50.0,0.3125,0.0009102821350097656
encryption,14,100KB file,0.0,0.22265625,0.00093841552734375
encryption,15,100KB file,-37.5,0.296875,0.0015401840209960938
encryption,16,100KB file,50.0,0.19921875,0.0009016990661621094
encryption,17,100KB file,16.7,4.68359375,0.0010013580322265625
encryption,18,100KB file,0.0,0.3125,0.002290487289428711
encryption,19,100KB file,-12.5,0.3125,0.0009067058563232422
encryption,20,100KB file,75.0,0.3125,0.0008974075317382812
encryption,21,100KB file,0.0,0.3125,0.0009768009185791016
encryption,22,100KB file,-87.5,0.3125,0.0008852481842041016
encryption,23,100KB file,50.0,0.31640625,0.0009338855743408203
encryption,24,100KB file,100.0,0.3125,0.0019788742065429688
encryption,25,100KB file,0.0,0.2734375,0.0009126663208007812
encryption,26,100KB file,-100.0,0.44140625,0.000978708267211914
encryption,27,100KB file,50.0,0.04296875,0.0009686946868896484
encryption,28,100KB file,42.9,1.78515625,0.0010287761688232422
encryption,29,100KB file,0.0,0.3125,0.0009293556213378906
encryption,30,100KB file,-62.5,0.06640625,0.0009593963623046875
encryption,31,100KB file,33.3,0.2578125,0.0009148120880126953
encryption,32,100KB file,0.0,0.3125,0.0008854866027832031
encryption,33,100KB file,-16.7,0.30859375,0.0009071826934814453
encryption,34,100KB file,12.5,0.3125,0.0008914470672607422
encryption,35,100KB file,0.0,0.3125,0.0009789466857910156
encryption,36,100KB file,-12.5,0.3203125,0.0010139942169189453
encryption,37,100KB file,-33.3,0.3125,0.0009200572967529297
encryption,38,100KB file,50.0,0.16015625,0.000919342041015625
encryption,39,100KB file,0.0,2.234375,0.000982046127319336
encryption,40,100KB file,-12.5,0.3125,0.0008895397186279297
encryption,41,100KB file,44.4,0.3125,0.0009374618530273438
encryption,42,100KB file,75.0,0.26953125,0.0015056133270263672
encryption,43,100KB file,-25.0,0.3125,0.0009222030639648438
encryption,44,100KB file,-87.5,2.2265625,0.000896453857421875
encryption,45,100KB file,62.5,0.3125,0.0017402172088623047
encryption,46,100KB file,0.0,0.3125,0.0008778572082519531
encryption,47,100KB file,37.5,0.3125,0.0009446144104003906
encryption,48,100KB file,0.0,0.3125,0.0009145736694335938
encryption,49,100KB file,-62.5,0.3125,0.0009274482727050781
encryption,50,100KB file,50.0,0.3125,0.0008885860443115234
decryption,1,100KB file,37.5,0.375,0.0006508827209472656
decryption,2,100KB file,100.0,-0.1328125,0.0007030963897705078
decryption,3,100KB file,66.7,-0.703125,0.0007421970367431641
decryption,4,100KB file,0.0,-0.28515625,0.0006852149963378906
decryption,5,100KB file,-12.5,-0.1640625,0.0006849765777587891
decryption,6,100KB file,-12.5,-2.03515625,0.0011284351348876953
decryption,7,100KB file,-62.5,-0.1875,0.0008296966552734375
decryption,8,100KB file,-14.3,3.7890625,0.0014503002166748047
decryption,9,100KB file,-16.7,-0.1875,0.0006775856018066406
decryption,10,100KB file,-37.5,-0.2265625,0.0007026195526123047
decryption,11,100KB file,-28.6,-0.5390625,0.0007052421569824219
decryption,12,100KB file,-87.5,-0.09375,0.0007181167602539062
decryption,13,100KB file,75.0,-0.50390625,0.0007548332214355469
decryption,14,100KB file,50.0,1.32421875,0.0007457733154296875
decryption,15,100KB file,33.3,-0.1875,0.0013544559478759766
decryption,16,100KB file,0.0,-0.22265625,0.0008664131164550781
decryption,17,100KB file,-62.5,-0.5078125,0.0006990432739257812
decryption,18,100KB file,-12.5,-0.1875,0.0006783008575439453
decryption,19,100KB file,-12.5,-0.1484375,0.0006768703460693359
decryption,20,100KB file,-25.0,-0.2265625,0.0009338855743408203
decryption,21,100KB file,-20.0,-0.1875,0.00077056884765625
decryption,22,100KB file,-20.0,-0.19921875,0.0019118785858154297
decryption,23,100KB file,-20.0,-0.1875,0.0007081031799316406
decryption,24,100KB file,25.0,-0.2265625,0.0006926059722900391
decryption,25,100KB file,12.5,-0.1171875,0.0007007122039794922
decryption,26,100KB file,50.0,-0.22265625,0.0007092952728271484
decryption,27,100KB file,0.0,-0.1171875,0.0006742477416992188
decryption,28,100KB file,-16.7,-0.1953125,0.0012056827545166016
decryption,29,100KB file,-12.5,-0.1875,0.0007050037384033203
decryption,30,100KB file,-100.0,-0.4453125,0.000667572021484375
decryption,31,100KB file,-62.5,-0.1875,0.0008270740509033203
decryption,32,100KB file,-62.5,-0.2265625,0.0009791851043701172
decryption,33,100KB file,-46.7,-0.1875,0.0006759166717529297
decryption,34,100KB file,50.0,-0.3515625,0.0009360313415527344
decryption,35,100KB file,33.3,-0.1875,0.0014202594757080078
decryption,36,100KB file,0.0,-0.09375,0.0006747245788574219
decryption,37,100KB file,-12.5,-0.1484375,0.0006933212280273438
decryption,38,100KB file,-25.0,-0.2265625,0.0006723403930664062
decryption,39,100KB file,-12.5,-0.17578125,0.0006933212280273438
decryption,40,100KB file,-28.6,-0.21875,0.0006718635559082031
decryption,41,100KB file,-28.6,-0.1875,0.0022683143615722656
decryption,42,100KB file,-16.7,-0.2265625,0.0006728172302246094
decryption,43,100KB file,0.0,-0.18359375,0.0006899833679199219
decryption,44,100KB file,0.0,3.71484375,0.00086212158203125
decryption,45,100KB file,12.5,-0.1875,0.0007052421569824219
decryption,46,100KB file,25.0,-0.1953125,0.0006699562072753906
decryption,47,100KB file,57.1,-0.0859375,0.0017261505126953125
decryption,48,100KB file,-100.0,-0.25390625,0.001001596450805664
decryption,49,100KB file,-66.7,0.046875,0.0006968975067138672
decryption,50,100KB file,-77.8,-0.07421875,0.0006699562072753906
